,0
0,13411f
1,21202i1
2,21902a2
3,16303c
4,16303h
5,218011
6,13409b
7,21204d
8,219011b
9,211003aa
10,21201a1
11,224123b
12,21801a
13,16112c
14,16101a
15,21902a1
16,222011
17,16113h
18,21309b
19,21604d
20,2111242d2
21,201051
22,21801b
23,14110b
24,21902b1
25,13411c1
26,16301e
27,20103b
28,211117c
29,21304b
30,13401b1
31,20105c
32,13402a1
33,16116a
34,21402a
35,16101a1
36,21707a
37,21309i
38,16303d
39,2111241b
40,21202h1
41,219011a
42,17107
43,21310a
44,22406i1
45,14104a
46,17104
47,16114b
48,13401h
49,21202h2
50,13401d
51,13411a
52,21405e2
53,21401
54,161111f
55,22105a
56,21804a
57,16122c
58,21903c
59,21309d
60,13703g
61,21301a
62,18103c
63,171042b2
64,13411d
65,21902a1ii
66,21304c
67,21314b
68,21706b
69,224123c3
70,13702a
71,1139141a
72,211003e
73,13410e2
74,22227b
75,13401b
76,16301j
77,20102a1
78,22206a
79,21204b
80,16303f
81,213111
82,16105b1
83,22204f
84,21902a1i
85,14102a
86,21405e1
87,13411g
88,13411c2
89,21902d1i
90,16115g
91,21902b1i
92,21404b
93,20103a
94,22223c
95,16113j
96,211104c3
97,211001b
98,21902c1
99,21202m
100,16113i
101,21405c
102,224122d
103,20104a
104,21502a2
105,21601b
106,13409a
107,21403c
108,21202k
109,224123c2
110,21601a
111,20104d
112,20105b
113,16105b2
114,22219a
115,21405b
116,22226a
117,21706a
118,16112e
119,13411e
120,16301o
121,24106c
122,16303g
123,17107a1
124,13704b
125,21707b
126,13414a
127,16301d
128,21402b
129,211102a
130,21305
131,23104
132,16303i
133,13936E2I
134,13411c
135,1139216
136,211001a
137,22209b
138,21303b
139,211104c
140,13111e
141,20105a
142,22101a
143,21801h
144,218021
145,22227d
146,1139021
147,21202h
148,16113k
149,21904c1
150,222012
151,21405a
152,224122e
153,211101a
154,161041c
155,16115f
156,16112b
157,21308a
158,211120c
159,16301k
160,20104b
161,24101b
162,20104c
163,22210c
164,218031e
165,14107k
166,2111121a
167,21602b
168,21904b1
169,2110041a
170,21307c
171,21202i2
172,16305a
173,21201a2
174,14106a
175,16301l
176,13401j
177,13620c
178,136162e2
179,22609b
180,26102a
181,219012
182,21904b2
183,16301q
184,21902d1
185,211120b
186,211123a2
187,211003b
188,213113
189,224123c
190,20108
191,211003j
192,21902b1I
193,21403b
194,21904b3
195,13106d2
196,211003n
197,211004e
198,21502c
199,22403a
200,211120a
201,21103a
202,13616i
203,16301i
204,21309c
205,212092
206,211109b
207,21902c1i
208,211103a
209,22223b
210,18106b
211,211116a
212,1139387
213,211003c
214,22404a
215,1139115
216,21601d
217,22403c
218,21707c
219,21601c
220,13401g
221,2111242c2
222,22406i3
